,close_price,days_holding,dt_close,dt_open,flag_open,id_instrument,long_short,margin_capital,multiplier,open_price,premium,realized_pnl,unit
84,0.1154,28.0,2016-09-13,2016-08-16,0.0,50etf_1703_c_2.202_A,1.0,0.0,10220.0,0.1456,41664.89600000001,-8656.969552000008,28.0
85,0.004,28.0,2016-09-13,2016-08-16,0.0,50etf_1609_c_2.35,-1.0,208011.9999999999,10000.0,0.0352,41888.00000000001,37118.67040000001,119.0
86,0.0012,28.0,2016-09-13,2016-08-16,0.0,50etf_1609_c_2.45,-1.0,626049.0000000001,10000.0,0.0107,42051.0,37325.6466,393.0
87,0.0021,28.0,2016-09-13,2016-08-16,0.0,50etf_1609_c_2.4,-1.0,354042.0000000001,10000.0,0.019,41990.0,37339.6738,221.0
88,0.0091,28.0,2016-09-13,2016-08-16,0.0,50etf_1609_c_2.3,-1.0,170718.00000000015,10000.0,0.0565,41810.0,35066.2912,74.0
89,0.0206,28.0,2016-09-13,2016-08-16,0.0,50etf_1609_c_2.25,-1.0,138227.00000000003,10000.0,0.088,41360.0,31667.7916,47.0
90,0.0245,37.0,2016-10-20,2016-09-13,0.0,50etf_1703_c_2.397_A,1.0,0.0,10220.0,0.0551,32661.076,-18147.8927392,58.0
91,0.0672,37.0,2016-10-20,2016-09-13,0.0,50etf_1703_c_2.25_A,1.0,0.0,10220.0,0.0958,32309.508,-9656.630676000002,33.0
92,0.0492,37.0,2016-10-20,2016-09-13,0.0,50etf_1703_c_2.299_A,1.0,0.0,10220.0,0.0797,32581.359999999997,-12478.938863999998,40.0
93,0.0346,37.0,2016-10-20,2016-09-13,0.0,50etf_1703_c_2.348_A,1.0,0.0,10220.0,0.0655,32801.090000000004,-15484.127615600004,49.0
94,0.0895,37.0,2016-10-20,2016-09-13,0.0,50etf_1703_c_2.202_A,1.0,0.0,10220.0,0.1154,33022.864,-7423.270836800005,28.0
95,0.0058,37.0,2016-10-20,2016-09-13,0.0,50etf_1610_c_2.3,-1.0,371635.2000000002,10000.0,0.023,33120.0,24759.7056,144.0
96,0.0313,37.0,2016-10-20,2016-09-13,0.0,50etf_1610_c_2.25,-1.0,245575.80000000002,10000.0,0.0405,32805.0,7440.368399999997,81.0
97,0.0009,37.0,2016-10-20,2016-09-13,0.0,50etf_1610_c_2.35,-1.0,507163.1999999996,10000.0,0.0133,33117.0,30868.9284,249.0
98,0.0003,37.0,2016-10-20,2016-09-13,0.0,50etf_1610_c_2.4,-1.0,680552.5,10000.0,0.0078,33150.0,31868.114999999998,425.0
99,0.078,37.0,2016-10-20,2016-09-13,0.0,50etf_1610_c_2.2,-1.0,176240.0,10000.0,0.0662,33099.99999999999,-5914.420000000007,50.0
100,0.0485,28.0,2016-11-17,2016-10-20,0.0,50etf_1703_c_2.397_A,1.0,0.0,10220.0,0.0245,40062.4,39220.92608,160.0
101,0.1128,28.0,2016-11-17,2016-10-20,0.0,50etf_1703_c_2.25_A,1.0,0.0,10220.0,0.0672,39833.471999999994,27008.51664,58.0
102,0.0865,28.0,2016-11-17,2016-10-20,0.0,50etf_1703_c_2.299_A,1.0,0.0,10220.0,0.0492,39723.096,30093.3617068,79.0
103,0.0654,28.0,2016-11-17,2016-10-20,0.0,50etf_1703_c_2.348_A,1.0,0.0,10220.0,0.0346,39958.155999999995,35546.590800000005,113.0
104,0.143,28.0,2016-11-17,2016-10-20,0.0,50etf_1703_c_2.202_A,1.0,0.0,10220.0,0.0895,39331.67,23490.675109999996,43.0
105,0.0686,28.0,2016-11-17,2016-10-20,0.0,50etf_1611_c_2.3,-1.0,623134.7999999999,10000.0,0.0224,40096.0,-82730.57799999998,179.0
106,0.1177,28.0,2016-11-17,2016-10-20,0.0,50etf_1611_c_2.25,-1.0,341007.2,10000.0,0.0465,39990.0,-61260.2424,86.0
107,0.0248,28.0,2016-11-17,2016-10-20,0.0,50etf_1611_c_2.35,-1.0,1269231.6,10000.0,0.0097,40061.0,-62391.496999999996,413.0
108,0.0036,28.0,2016-11-17,2016-10-20,0.0,50etf_1611_c_2.4,-1.0,2443239.600000003,10000.0,0.0041,40098.0,4874.938800000001,978.0
109,0.1207,28.0,2016-11-17,2016-10-20,0.0,50etf_1612_c_2.202_A,-1.0,258844.59720000002,10220.0,0.0617,39726.162,-38011.228012800006,63.0
110,0.116,28.0,2016-12-15,2016-11-17,0.0,50etf_1703_c_2.25_A,1.0,0.0,10220.0,0.1128,36890.112,1031.5626495999984,32.0
111,0.09,28.0,2016-12-15,2016-11-17,0.0,50etf_1703_c_2.299_A,1.0,0.0,10220.0,0.0865,36245.229999999996,1451.7785940000072,41.0
112,0.1462,28.0,2016-12-15,2016-11-17,0.0,50etf_1703_c_2.202_A,1.0,0.0,10220.0,0.143,36536.5,802.8218799999985,25.0
113,0.11,28.0,2016-12-15,2016-11-17,0.0,50etf_1612_c_2.202_A,-1.0,136528.97999999998,10220.0,0.1207,37006.62,3266.473476000003,30.0
114,0.0887,28.0,2016-12-15,2016-11-17,0.0,50etf_1706_c_2.397_A,1.0,0.0,10220.0,0.0782,36763.384000000005,4920.567394399987,46.0
115,0.1064,28.0,2016-12-15,2016-11-17,0.0,50etf_1706_c_2.348_A,1.0,0.0,10220.0,0.096,36301.44,3917.3488927999956,37.0
116,0.0344,28.0,2016-12-15,2016-11-17,0.0,50etf_1612_c_2.299_A,-1.0,268403.77199999994,10220.0,0.0488,36906.464,10877.8475008,74.0
117,0.0149,28.0,2016-12-15,2016-11-17,0.0,50etf_1612_c_2.348_A,-1.0,433875.7919999999,10220.0,0.0272,36971.871999999996,16707.453030799996,133.0
118,0.006,28.0,2016-12-15,2016-11-17,0.0,50etf_1612_c_2.397_A,-1.0,655270.6300000001,10220.0,0.0148,37057.72,22023.903776000003,245.0
119,0.0666,28.0,2016-12-15,2016-11-17,0.0,50etf_1612_c_2.25_A,-1.0,183270.15,10220.0,0.0801,36837.990000000005,6195.156534000002,45.0
120,0.0774,29.0,2017-01-13,2016-12-15,0.0,50etf_1706_c_2.35,1.0,0.0,10000.0,0.1048,28296.0,-7407.8388,27.0
121,0.0604,29.0,2017-01-13,2016-12-15,0.0,50etf_1706_c_2.4,1.0,0.0,10000.0,0.0887,28384.0,-9065.542399999998,32.0
122,0.098,29.0,2017-01-13,2016-12-15,0.0,50etf_1706_c_2.3,1.0,0.0,10000.0,0.128,28160.0,-6609.9439999999995,22.0
123,0.1231,29.0,2017-01-13,2016-12-15,0.0,50etf_1706_c_2.25,1.0,0.0,10000.0,0.1488,28272.0,-4893.332199999997,19.0
124,0.0459,29.0,2017-01-13,2016-12-15,0.0,50etf_1706_c_2.45,1.0,0.0,10000.0,0.0719,28041.0,-10149.188400000001,39.0
125,0.0005,29.0,2017-01-13,2016-12-15,0.0,50etf_1701_c_2.5,-1.0,459477.0,10000.0,0.01,28500.0,27069.015,285.0
126,0.0017,29.0,2017-01-13,2016-12-15,0.0,50etf_1701_c_2.4,-1.0,202199.39999999988,10000.0,0.0244,28548.0,26552.892600000003,117.0
127,0.0061,29.0,2017-01-13,2016-12-15,0.0,50etf_1701_c_2.35,-1.0,165724.5999999998,10000.0,0.0389,28396.999999999996,23937.429999999997,73.0
128,0.0008,29.0,2017-01-13,2016-12-15,0.0,50etf_1701_c_2.45,-1.0,298627.0,10000.0,0.0154,28490.000000000004,27004.006000000005,185.0
129,0.025,29.0,2017-01-13,2016-12-15,0.0,50etf_1701_c_2.3,-1.0,139497.59999999998,10000.0,0.0594,28512.0,16503.8976,48.0
130,0.0812,35.0,2017-02-17,2017-01-13,0.0,50etf_1706_c_2.35,1.0,0.0,10000.0,0.0774,47214.0,2298.6508000000003,61.0
131,0.1093,35.0,2017-02-17,2017-01-13,0.0,50etf_1706_c_2.3,1.0,0.0,10000.0,0.098,47040.00000000001,5404.099199999985,48.0
132,0.1428,35.0,2017-02-17,2017-01-13,0.0,50etf_1706_c_2.25,1.0,0.0,10000.0,0.1231,46778.00000000001,7465.791599999993,38.0
133,0.0407,35.0,2017-02-17,2017-01-13,0.0,50etf_1706_c_2.45,1.0,0.0,10000.0,0.0459,47277.00000000001,-5373.8396000000075,103.0
134,0.028,35.0,2017-02-17,2017-01-13,0.0,50etf_1706_c_2.5,1.0,0.0,10000.0,0.0359,47388.0,-10444.8696,132.0
135,0.0625,35.0,2017-02-17,2017-01-13,0.0,50etf_1702_c_2.3,-1.0,404020.19999999995,10000.0,0.0421,47573.0,-23075.6396,113.0
136,0.0177,35.0,2017-02-17,2017-01-13,0.0,50etf_1702_c_2.35,-1.0,674006.3999999998,10000.0,0.022,47520.0,9270.8496,216.0
137,0.1129,35.0,2017-02-17,2017-01-13,0.0,50etf_1702_c_2.25,-1.0,264705.99999999994,10000.0,0.0733,47645.0,-25764.206,65.0
